                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3948,                 6.6129,                0.96537,                0.00033,                    0.1,                0.00019,                0.00011,                  1.132,                 5.3236,                0.94653,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.302,                 5.6088,                0.90131,                  0.002,                    0.6,                0.00228,                0.00126,                0.87025,                 5.2118,                0.89406,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                  1.361,                 4.4685,                0.83876,                0.00267,                    0.8,                0.00503,                0.00345,                 1.0674,                 5.0647,                0.86043,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.4443,                 4.1945,                0.94566,                0.00333,                      1,                0.00683,                0.00396,                 1.1843,                 4.8607,                0.86345,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.3486,                 3.1699,                0.83322,                0.00333,                      1,                 0.0075,                 0.0042,                  1.094,                 4.7159,                0.82873,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.4098,                 2.8095,                0.90254,                  0.003,                    0.9,                0.00587,                0.00348,                 1.1627,                 4.4791,                 0.8536,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.2914,                 2.7333,                0.94026,                  0.003,                    0.9,                0.00582,                0.00328,                 1.0843,                 4.5256,                0.84971,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.1296,                 2.5694,                0.87042,                  0.003,                    0.9,                0.00589,                0.00281,                0.99077,                 4.5218,                 0.8447,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.3147,                 2.9701,                0.91806,                  0.003,                    0.9,                0.00564,                0.00249,                 1.1099,                 4.6117,                 0.8685,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.0804,                  2.823,                0.88195,                  0.003,                    0.9,                0.00546,                0.00221,                 1.2607,                 4.7087,                0.89725,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.3401,                 3.1012,                0.94506,                  0.003,                    0.9,                0.00532,                0.00226,                 1.2442,                 4.8049,                0.90073,             0.00057664,             0.00057664,             0.00057664
                     12,                   1.02,                  2.671,                0.85284,                  0.003,                    0.9,                0.00521,                0.00262,                  1.064,                 4.6299,                 0.8953,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.1731,                 2.5678,                0.89699,                0.00333,                      1,                0.00612,                 0.0039,                 1.0322,                 4.4229,                0.89226,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0789,                 2.1102,                0.86738,                0.00333,                      1,                0.00604,                0.00397,                 1.0121,                  4.478,                0.87878,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.1348,                 2.0115,                0.89398,                0.00333,                      1,                0.00604,                0.00397,                 1.0121,                  4.478,                0.87878,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.1428,                 2.5417,                0.85536,                0.00333,                      1,                0.00543,                0.00332,                 1.1712,                 4.3766,                0.90112,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.3996,                 2.8625,                0.94946,                0.00333,                      1,                0.00517,                0.00229,                 1.1095,                 4.5322,                 0.9015,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2438,                 2.6102,                0.88682,                0.00333,                      1,                0.00517,                0.00229,                 1.1095,                 4.5322,                 0.9015,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.1735,                 3.3972,                 0.9325,                  0.003,                    0.9,                0.00383,                0.00149,                 1.1113,                 4.6452,                0.92581,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.4053,                 3.1094,                0.89587,                0.00333,                      1,                0.00392,                0.00218,                 1.3296,                 4.5998,                0.98291,             0.00095804,             0.00095804,             0.00095804
